"","state","code","pop_2014","date","fips","cases","deaths"
"1","Alabama","AL",4849377,"2021-05-14",1,537813,11024
"2","Alabama","AL",4849377,"2020-09-04",1,130393,2266
"3","Alabama","AL",4849377,"2021-03-11",1,502263,10274
"4","Alabama","AL",4849377,"2020-11-24",1,236865,3472
"5","Alabama","AL",4849377,"2021-05-19",1,540891,11045
"6","Alabama","AL",4849377,"2020-07-20",1,68891,1291
"7","Alabama","AL",4849377,"2021-04-03",1,516615,10637
"8","Alabama","AL",4849377,"2020-04-02",1,1270,32
"9","Alabama","AL",4849377,"2021-03-04",1,498076,10094
"10","Alabama","AL",4849377,"2023-01-24",1,1602891,21322
"11","Alabama","AL",4849377,"2022-04-21",1,1298880,19529
"12","Alabama","AL",4849377,"2022-09-04",1,1496295,20202
"13","Alabama","AL",4849377,"2021-06-23",1,549394,11328
"14","Alabama","AL",4849377,"2020-12-13",1,295631,4102
"15","Alabama","AL",4849377,"2022-10-12",1,1528319,20498
"16","Alabama","AL",4849377,"2022-11-22",1,1542227,21100
"17","Alabama","AL",4849377,"2021-08-05",1,599633,11574
"18","Alabama","AL",4849377,"2022-03-10",1,1288454,18766
"19","Alabama","AL",4849377,"2021-09-01",1,704420,12291
"20","Alabama","AL",4849377,"2022-02-21",1,1273484,17933
"21","Alabama","AL",4849377,"2022-10-11",1,1527825,20489
"22","Alabama","AL",4849377,"2020-04-20",1,5078,164
"23","Alabama","AL",4849377,"2020-10-02",1,156698,2550
"24","Alabama","AL",4849377,"2023-01-12",1,1596149,21300
"25","Alabama","AL",4849377,"2023-03-04",1,1642062,21511
"26","Alabama","AL",4849377,"2020-11-22",1,232506,3457
"27","Alabama","AL",4849377,"2023-02-02",1,1617850,21354
"28","Alabama","AL",4849377,"2020-06-11",1,22845,755
"29","Alabama","AL",4849377,"2021-12-26",1,868948,16418
"30","Alabama","AL",4849377,"2020-08-14",1,106309,1893
"31","Alabama","AL",4849377,"2020-09-27",1,152321,2502
"32","Alabama","AL",4849377,"2022-10-21",1,1531305,20533
"33","Alabama","AL",4849377,"2022-05-03",1,1301463,19585
"34","Alabama","AL",4849377,"2022-12-14",1,1561557,21178
"35","Alabama","AL",4849377,"2020-06-14",1,25615,773
"36","Alabama","AL",4849377,"2021-02-27",1,492683,9930
"37","Alabama","AL",4849377,"2022-12-04",1,1549285,21129
"38","Alabama","AL",4849377,"2022-03-15",1,1289727,18943
"39","Alabama","AL",4849377,"2023-02-04",1,1617850,21354
"40","Alabama","AL",4849377,"2020-09-22",1,146584,2457
"41","Alabama","AL",4849377,"2020-06-20",1,29549,838
"42","Alabama","AL",4849377,"2021-01-09",1,399150,5299
"43","Alabama","AL",4849377,"2021-04-18",1,522401,10790
"44","Alabama","AL",4849377,"2023-01-01",1,1573637,21208
"45","Alabama","AL",4849377,"2023-01-08",1,1587224,21263
"46","Alabama","AL",4849377,"2021-10-02",1,799800,14469
"47","Alabama","AL",4849377,"2021-01-10",1,401900,5334
"48","Alabama","AL",4849377,"2021-02-24",1,490220,9744
"49","Alabama","AL",4849377,"2021-10-28",1,830789,15484
"50","Alabama","AL",4849377,"2020-03-26",1,538,3
"51","Alabama","AL",4849377,"2020-05-23",1,14149,549
"52","Alabama","AL",4849377,"2022-02-09",1,1254032,17452
"53","Alabama","AL",4849377,"2021-05-21",1,541673,11080
"54","Alabama","AL",4849377,"2021-08-24",1,665653,12000
"55","Alabama","AL",4849377,"2022-12-17",1,1561557,21178
"56","Alabama","AL",4849377,"2021-08-31",1,699729,12283
"57","Alabama","AL",4849377,"2021-08-28",1,688018,12219
"58","Alabama","AL",4849377,"2020-08-31",1,126058,2182
"59","Alabama","AL",4849377,"2021-05-25",1,542562,11124
"60","Alabama","AL",4849377,"2021-12-20",1,858396,16353
"61","Alabama","AL",4849377,"2022-01-28",1,1153149,16826
"62","Alabama","AL",4849377,"2021-12-28",1,874332,16436
"63","Alabama","AL",4849377,"2020-08-07",1,98301,1735
"64","Alabama","AL",4849377,"2021-05-16",1,540083,11038
"65","Alabama","AL",4849377,"2023-03-01",1,1642062,21511
"66","Alabama","AL",4849377,"2021-05-08",1,530744,10978
"67","Alabama","AL",4849377,"2020-12-12",1,292841,4102
"68","Alabama","AL",4849377,"2023-02-17",1,1633743,21369
"69","Alabama","AL",4849377,"2022-10-25",1,1531305,20533
"70","Alabama","AL",4849377,"2021-04-28",1,527083,10879
"71","Alabama","AL",4849377,"2021-03-19",1,510579,10425
"72","Alabama","AL",4849377,"2021-11-22",1,843161,16073
"73","Alabama","AL",4849377,"2022-11-15",1,1540329,21093
"74","Alabama","AL",4849377,"2022-11-02",1,1534287,20558
"75","Alabama","AL",4849377,"2022-10-07",1,1526381,20473
"76","Alabama","AL",4849377,"2020-05-30",1,17359,618
"77","Alabama","AL",4849377,"2020-03-16",1,29,0
"78","Alabama","AL",4849377,"2021-09-04",1,719280,12414
"79","Alabama","AL",4849377,"2020-11-14",1,215843,3246
"80","Alabama","AL",4849377,"2022-03-28",1,1294532,19234
"81","Alabama","AL",4849377,"2022-04-10",1,1296730,19376
"82","Alabama","AL",4849377,"2022-02-17",1,1270015,17787
"83","Alabama","AL",4849377,"2022-12-30",1,1573637,21208
"84","Alabama","AL",4849377,"2021-12-18",1,857292,16353
"85","Alabama","AL",4849377,"2021-10-20",1,815989,15311
"86","Alabama","AL",4849377,"2021-07-02",1,551298,11358
"87","Alabama","AL",4849377,"2022-05-04",1,1301805,19590
"88","Alabama","AL",4849377,"2022-01-09",1,978632,16624
"89","Alabama","AL",4849377,"2021-09-02",1,709732,12330
"90","Alabama","AL",4849377,"2022-02-15",1,1265932,17656
"91","Alabama","AL",4849377,"2022-11-24",1,1545099,21112
"92","Alabama","AL",4849377,"2021-09-18",1,768301,13209
"93","Alabama","AL",4849377,"2020-05-07",1,9046,369
"94","Alabama","AL",4849377,"2022-06-18",1,1334981,19696
"95","Alabama","AL",4849377,"2020-10-30",1,190496,2932
"96","Alabama","AL",4849377,"2020-12-28",1,347897,4712
"97","Alabama","AL",4849377,"2022-11-06",1,1534287,20558
"98","Alabama","AL",4849377,"2023-01-21",1,1602891,21322
"99","Alabama","AL",4849377,"2020-10-08",1,161975,2637
"100","Alabama","AL",4849377,"2022-11-09",1,1534287,20558
"101","Alabama","AL",4849377,"2023-03-17",1,1646423,21612
"102","Alabama","AL",4849377,"2020-07-08",1,46962,1058
"103","Alabama","AL",4849377,"2020-06-27",1,35083,919
"104","Alabama","AL",4849377,"2022-01-17",1,1064536,16734
"105","Alabama","AL",4849377,"2022-07-06",1,1367570,19766
"106","Alabama","AL",4849377,"2021-08-26",1,676795,12103
"107","Alabama","AL",4849377,"2021-06-03",1,545028,11188
"108","Alabama","AL",4849377,"2021-09-06",1,724688,12416
"109","Alabama","AL",4849377,"2022-09-21",1,1517046,20380
"110","Alabama","AL",4849377,"2020-10-06",1,160477,2580
"111","Alabama","AL",4849377,"2022-11-20",1,1542227,21100
"112","Alabama","AL",4849377,"2021-11-01",1,832264,15573
"113","Alabama","AL",4849377,"2023-03-02",1,1642062,21511
"114","Alabama","AL",4849377,"2020-07-06",1,44878,1007
"115","Alabama","AL",4849377,"2023-01-22",1,1602891,21322
"116","Alabama","AL",4849377,"2021-12-21",1,859650,16368
"117","Alabama","AL",4849377,"2020-03-28",1,720,4
"118","Alabama","AL",4849377,"2023-02-20",1,1633743,21369
"119","Alabama","AL",4849377,"2023-02-15",1,1633743,21369
"120","Alabama","AL",4849377,"2021-04-26",1,526348,10852
"121","Alabama","AL",4849377,"2020-07-15",1,59067,1211
"122","Alabama","AL",4849377,"2022-10-10",1,1526381,20473
"123","Alabama","AL",4849377,"2021-01-07",1,389230,5080
"124","Alabama","AL",4849377,"2022-07-03",1,1359051,19759
"125","Alabama","AL",4849377,"2020-06-12",1,23710,769
"126","Alabama","AL",4849377,"2020-11-29",1,247229,3577
"127","Alabama","AL",4849377,"2022-07-24",1,1407699,19872
"128","Alabama","AL",4849377,"2020-03-13",1,6,0
"129","Alabama","AL",4849377,"2022-10-08",1,1526381,20473
"130","Alabama","AL",4849377,"2020-12-30",1,356820,4774
"131","Alabama","AL",4849377,"2021-11-23",1,843780,16086
"132","Alabama","AL",4849377,"2023-02-13",1,1627670,21363
"133","Alabama","AL",4849377,"2023-01-31",1,1610535,21343
"134","Alabama","AL",4849377,"2022-03-13",1,1288999,18832
"135","Alabama","AL",4849377,"2021-09-05",1,722122,12415
"136","Alabama","AL",4849377,"2022-01-07",1,957848,16585
"137","Alabama","AL",4849377,"2021-05-11",1,531404,10985
"138","Alabama","AL",4849377,"2022-04-06",1,1296357,19374
"139","Alabama","AL",4849377,"2021-12-25",1,868085,16418
"140","Alabama","AL",4849377,"2021-10-26",1,821255,15424
"141","Alabama","AL",4849377,"2023-01-16",1,1596149,21300
"142","Alabama","AL",4849377,"2020-09-02",1,128239,2217
"143","Alabama","AL",4849377,"2022-03-27",1,1292508,19210
"144","Alabama","AL",4849377,"2021-02-11",1,477570,9021
"145","Alabama","AL",4849377,"2022-03-06",1,1282945,18480
"146","Alabama","AL",4849377,"2020-12-09",1,280187,3985
"147","Alabama","AL",4849377,"2022-01-26",1,1153149,16826
"148","Alabama","AL",4849377,"2020-07-28",1,82366,1491
"149","Alabama","AL",4849377,"2022-12-11",1,1555092,21164
"150","Alabama","AL",4849377,"2023-03-15",1,1646423,21612
"151","Alabama","AL",4849377,"2021-02-06",1,471311,8513
"152","Alabama","AL",4849377,"2021-09-28",1,792632,14155
"153","Alabama","AL",4849377,"2022-04-07",1,1296558,19374
"154","Alabama","AL",4849377,"2022-04-20",1,1298626,19524
"155","Alabama","AL",4849377,"2021-08-15",1,634897,11798
"156","Alabama","AL",4849377,"2021-02-26",1,491849,9869
"157","Alabama","AL",4849377,"2021-03-01",1,493769,9931
"158","Alabama","AL",4849377,"2023-01-17",1,1596149,21300
"159","Alabama","AL",4849377,"2023-02-07",1,1617850,21354
"160","Alabama","AL",4849377,"2020-11-23",1,234080,3459
"161","Alabama","AL",4849377,"2022-08-11",1,1449812,20026
"162","Alabama","AL",4849377,"2022-04-05",1,1296137,19362
"163","Alabama","AL",4849377,"2020-04-25",1,6213,213
"164","Alabama","AL",4849377,"2022-01-06",1,944876,16543
"165","Alabama","AL",4849377,"2023-03-16",1,1646423,21612
"166","Alabama","AL",4849377,"2022-06-20",1,1338177,19697
"167","Alabama","AL",4849377,"2022-02-25",1,1277837,18186
"168","Alabama","AL",4849377,"2020-05-04",1,8112,298
"169","Alabama","AL",4849377,"2021-01-24",1,441170,6660
"170","Alabama","AL",4849377,"2021-09-24",1,784484,13921
"171","Alabama","AL",4849377,"2022-12-28",1,1568934,21208
"172","Alabama","AL",4849377,"2021-12-22",1,861110,16380
"173","Alabama","AL",4849377,"2023-02-16",1,1633743,21369
"174","Alabama","AL",4849377,"2023-03-14",1,1644533,21570
"175","Alabama","AL",4849377,"2023-02-03",1,1617850,21354
"176","Alabama","AL",4849377,"2022-02-23",1,1275355,18007
"177","Alabama","AL",4849377,"2023-03-22",1,1648385,21631
"178","Alabama","AL",4849377,"2022-03-03",1,1282372,18407
"179","Alabama","AL",4849377,"2022-07-09",1,1373684,19786
"180","Alabama","AL",4849377,"2022-01-15",1,1004622,16641
"181","Alabama","AL",4849377,"2022-06-05",1,1317029,19664
"182","Alabama","AL",4849377,"2020-05-02",1,7611,288
"183","Alabama","AL",4849377,"2022-03-19",1,1291186,19038
"184","Alabama","AL",4849377,"2020-10-25",1,184355,2866
"185","Alabama","AL",4849377,"2021-11-11",1,838114,15934
"186","Alabama","AL",4849377,"2020-05-22",1,13670,541
"187","Alabama","AL",4849377,"2022-06-11",1,1325361,19692
"188","Alabama","AL",4849377,"2022-10-30",1,1534287,20558
"189","Alabama","AL",4849377,"2020-05-08",1,9385,383
"190","Alabama","AL",4849377,"2021-10-11",1,808599,14859
"191","Alabama","AL",4849377,"2020-11-17",1,220848,3301
"192","Alabama","AL",4849377,"2022-04-25",1,1299816,19545
"193","Alabama","AL",4849377,"2021-04-14",1,520780,10728
"194","Alabama","AL",4849377,"2021-07-18",1,560202,11443
"195","Alabama","AL",4849377,"2021-12-05",1,848498,16185
"196","Alabama","AL",4849377,"2023-02-12",1,1627670,21363
"197","Alabama","AL",4849377,"2021-10-22",1,818652,15378
"198","Alabama","AL",4849377,"2020-12-18",1,315683,4296
"199","Alabama","AL",4849377,"2021-03-23",1,511789,10450
"200","Alabama","AL",4849377,"2021-08-07",1,607209,11624
"201","Alabama","AL",4849377,"2022-01-11",1,993418,16630
"202","Alabama","AL",4849377,"2021-06-15",1,548163,11281
"203","Alabama","AL",4849377,"2022-07-21",1,1404810,19859
"204","Alabama","AL",4849377,"2022-08-03",1,1424411,19891
"205","Alabama","AL",4849377,"2021-08-27",1,681828,12153
"206","Alabama","AL",4849377,"2021-05-24",1,542256,11112
"207","Alabama","AL",4849377,"2020-08-01",1,89349,1603
"208","Alabama","AL",4849377,"2020-04-17",1,4572,151
"209","Alabama","AL",4849377,"2022-05-17",1,1306116,19633
"210","Alabama","AL",4849377,"2020-09-01",1,127616,2200
"211","Alabama","AL",4849377,"2021-06-13",1,547323,11266
"212","Alabama","AL",4849377,"2020-07-10",1,50508,1104
"213","Alabama","AL",4849377,"2021-01-16",1,420681,6119
"214","Alabama","AL",4849377,"2023-02-21",1,1633743,21369
"215","Alabama","AL",4849377,"2022-03-26",1,1292508,19210
"216","Alabama","AL",4849377,"2022-10-24",1,1531305,20533
"217","Alabama","AL",4849377,"2020-07-27",1,81115,1491
"218","Alabama","AL",4849377,"2022-07-01",1,1359051,19759
"219","Alabama","AL",4849377,"2020-07-05",1,43953,1007
"220","Alabama","AL",4849377,"2022-08-25",1,1479605,20048
"221","Alabama","AL",4849377,"2022-12-31",1,1573637,21208
"222","Alabama","AL",4849377,"2021-11-16",1,840495,15999
"223","Alabama","AL",4849377,"2021-08-14",1,627905,11765
"224","Alabama","AL",4849377,"2021-04-30",1,527922,10896
"225","Alabama","AL",4849377,"2023-02-19",1,1633743,21369
"226","Alabama","AL",4849377,"2022-07-12",1,1382137,19804
"227","Alabama","AL",4849377,"2020-10-28",1,187706,2911
"228","Alabama","AL",4849377,"2022-08-31",1,1491815,20113
"229","Alabama","AL",4849377,"2020-03-24",1,242,0
"230","Alabama","AL",4849377,"2021-12-31",1,896614,16455
"231","Alabama","AL",4849377,"2022-12-03",1,1549285,21129
